Country,Year,New_cases,New_deaths
"Bonaire, Saint Eustatius and Saba",2023,206.0,2.0
"Bonaire, Saint Eustatius and Saba",2024,0.0,0.0
"Bonaire, Saint Eustatius and Saba",2025,0.0,0.0
Bosnia and Herzegovina,2020,109330.0,3923.0
Bosnia and Herzegovina,2021,178386.0,9360.0
Bosnia and Herzegovina,2022,113244.0,2939.0
Bosnia and Herzegovina,2023,2548.0,158.0
Bosnia and Herzegovina,2024,634.0,24.0
Bosnia and Herzegovina,2025,120.0,2.0
Botswana,2020,13890.0,39.0
Botswana,2021,198592.0,2400.0
Botswana,2022,115549.0,347.0
Botswana,2023,2386.0,14.0
Botswana,2024,282.0,1.0
Botswana,2025,0.0,0.0
Brazil,2020,7448560.0,190488.0
Brazil,2021,14782177.0,427904.0
Brazil,2022,13893600.0,74351.0
Brazil,2023,1387584.0,9373.0
Brazil,2024,0.0,0.0
Brazil,2025,191957.0,573.0
British Virgin Islands,2020,93.0,1.0
British Virgin Islands,2021,2978.0,38.0
British Virgin Islands,2022,4234.0,25.0
British Virgin Islands,2023,115.0,0.0
British Virgin Islands,2024,223.0,0.0
British Virgin Islands,2025,1.0,0.0
Brunei Darussalam,2020,152.0,3.0
Brunei Darussalam,2021,15295.0,58.0
Brunei Darussalam,2022,253168.0,87.0
Brunei Darussalam,2023,62161.0,23.0
Brunei Darussalam,2024,19516.0,11.0
Brunei Darussalam,2025,258.0,0.0
Bulgaria,2020,197384.0,7123.0
Bulgaria,2021,536498.0,23405.0
Bulgaria,2022,546735.0,7508.0
Bulgaria,2023,42961.0,594.0
Bulgaria,2024,14618.0,132.0
Bulgaria,2025,202.0,3.0
Burkina Faso,2020,6344.0,78.0
Burkina Faso,2021,10696.0,239.0
Burkina Faso,2022,4966.0,78.0
Burkina Faso,2023,103.0,5.0
Burkina Faso,2024,54.0,0.0
Burkina Faso,2025,8.0,0.0
Burundi,2020,809.0,2.0
Burundi,2021,26190.0,12.0
Burundi,2022,25052.0,1.0
Burundi,2023,2410.0,0.0
Burundi,2024,108.0,0.0
Burundi,2025,0.0,0.0
Cabo Verde,2020,11698.0,112.0
Cabo Verde,2021,27315.0,240.0
Cabo Verde,2022,24177.0,60.0
Cabo Verde,2023,1284.0,5.0
Cabo Verde,2024,0.0,0.0
Cabo Verde,2025,0.0,0.0
Cambodia,2020,364.0,0.0
Cambodia,2021,120085.0,3008.0
Cambodia,2022,18046.0,48.0
Cambodia,2023,519.0,0.0
Cambodia,2024,312.0,0.0
Cambodia,2025,0.0,0.0
Cameroon,2020,26277.0,448.0
Cameroon,2021,82399.0,1403.0
Cameroon,2022,15317.0,114.0
Cameroon,2023,1144.0,9.0
Cameroon,2024,142.0,0.0
Cameroon,2025,0.0,0.0
Canada,2020,539241.0,14734.0
Canada,2021,1422482.0,15117.0
Canada,2022,2514662.0,18570.0
Canada,2023,297851.0,6020.0
Canada,2024,44819.0,841.0
Canada,2025,0.0,0.0
Cayman Islands,2020,318.0,2.0
Cayman Islands,2021,8068.0,9.0
Cayman Islands,2022,23086.0,26.0
Cayman Islands,2023,0.0,0.0
Cayman Islands,2024,0.0,0.0
Cayman Islands,2025,0.0,0.0
Central African Republic,2020,5814.0,63.0
Central African Republic,2021,6454.0,38.0
Central African Republic,2022,3092.0,12.0
Central African Republic,2023,80.0,0.0
Central African Republic,2024,3.0,0.0
Central African Republic,2025,0.0,0.0
Chad,2020,1986.0,104.0
Chad,2021,3715.0,77.0
Chad,2022,1948.0,13.0
Chad,2023,49.0,0.0
Chad,2024,4.0,0.0
Chad,2025,0.0,0.0
Chile,2020,598394.0,16404.0
Chile,2021,1200731.0,22609.0
Chile,2022,3207034.0,23999.0
Chile,2023,326818.0,-785.0
